ID,SalePrice
1461,111062.67255276475
1462,162179.9747812386
1463,176753.7744138861
1464,190679.71912938266
1465,203996.54953315228
1466,171964.1194515204
1467,178756.1332692027
1468,160885.12884774193
1469,189261.39837873523
1470,120422.19943187294
1471,175082.97410784333
1472,98179.27808577343
1473,95075.1189348878
1474,150177.7490592422
1475,121897.45289235121
1476,365636.56117193925
1477,254554.67763800136
1478,299128.5799213642
1479,276706.3854662208
1480,495275.4381373405
1481,325882.6342396509
1482,213567.14392160063
1483,170256.76628403575
1484,166452.230641477
1485,185018.0185613832
1486,191363.59633430233
1487,359622.3743509482
1488,226569.11452894993
1489,192483.67267421552
1490,228002.43216089238
1491,187830.2104206632
1492,92802.67642756873
1493,192671.30496196303
1494,301947.05317357735
1495,314238.7789487316
1496,235166.27787964654
1497,174302.78972192647
1498,166537.81330281784
1499,172157.6196488917
1500,159973.20337544565
1501,165681.71993621116
1502,154434.30467752577
1503,232469.0000174423
1504,248642.46880046758
1505,227116.12360747327
1506,190711.8045579092
1507,254780.01813509324
1508,203575.2109481654
1509,158074.03314517142
1510,143489.12423778843
1511,148513.07539363907
1512,169336.81074899543
1513,140342.58455106174
1514,161742.8579081007
1515,180545.72558033478
1516,142308.4041754986
1517,161969.25806252303
1518,131351.1929041623
1519,201689.46512364072
1520,128206.33036525406
1521,126869.27772426498
1522,177072.4337532065
1523,111358.86834744025
1524,109357.49801215403
1525,115123.6939902167
1526,109324.15023127821
1527,112738.21617738495
1528,139274.79360522688
1529,144914.03088934766
1530,171699.07344638332
1531,122931.00753992393
1532,92544.09165263255
1533,129993.6299228816
1534,112489.77947740891
1535,141909.3513699821
1536,109671.22723783004
1537,63151.23786254647
1538,136805.27169570132
1539,167548.7803090416
1540,88110.32318380468
1541,125608.60973906275
1542,137995.53336161983
1543,177913.78827632568
1544,76086.68211893972
1545,109992.7241863926
1546,135238.67452053406
1547,119535.79026011197
1548,120408.18361825473
1549,106158.232844109
1550,138703.83447724913
1551,101559.57803588413
1552,142845.6926733591
1553,140112.1005740527
1554,120375.94657368344
1555,168339.46663981958
1556,96100.21491633433
1557,105417.21130048417
1558,102643.40128465417
1559,86963.7122789745
1560,139413.70892339037
1561,112645.28079929062
1562,132788.68011873667
1563,120962.71282593181
1564,166788.64711852552
1565,161766.00978665074
1566,229491.27414678867
1567,84649.24717633665
1568,246824.42223908394
1569,151135.23708249815
1570,134571.6544315206
1571,109144.35887228692
1572,140467.73849065133
1573,212851.72353358113
1574,129795.68694574496
1575,229250.97503430516
1576,245078.1477657431
1577,168868.96757054876
1578,166117.4164211152
1579,131882.68835533634
1580,191903.72858916371
1581,148772.17991858092
1582,130663.48123819708
1583,303555.97474490403
1584,230353.08315995487
1585,137465.58001643527
1586,68632.38401094354
1587,105129.9977420706
1588,143408.24238448372
1589,102227.98532930843
1590,130588.7797409037
1591,98334.89659000846
1592,105544.55645030254
1593,126060.35454105993
1594,112566.24014242738
1595,113325.77096425836
1596,228892.63400894933
1597,185897.04517030498
1598,192186.66495872705
1599,157338.26941390833
1600,153577.94611999977
1601,65219.71985126972
1602,121633.76672067128
1603,63327.55581777764
1604,230650.4024419453
1605,233322.283822409
1606,160731.91775786728
1607,183333.07007220198
1608,213975.8575922498
1609,186872.95884521015
1610,150763.51999458903
1611,140862.85897330576
1612,163522.01693233015
1613,161645.26792347553
1614,119348.62521475552
1615,87102.30238437648
1616,82864.88480106038
1617,87313.99232593343
1618,123970.33869004704
1619,132806.93306048078
1620,184905.36176978727
1621,136011.65291221454
1622,145660.12489427772
1623,265252.1180426065
1624,208961.4177935042
1625,103660.15551357204
1626,172499.59111985457
1627,190613.47013274388
1628,271491.9591921934
1629,173305.96775368508
1630,346279.5052167999
1631,216908.0103755622
1632,236673.85580197955
1633,171787.42043518095
1634,180325.98295578815
1635,177350.73422910305
1636,154056.50753126742
1637,195594.56475312077
1638,197081.72097115943
1639,179664.50157681326
1640,241353.79866384898
1641,182700.51621115213
1642,233698.54872052625
1643,231935.63431718491
1644,236049.30752637715
1645,234182.79910879058
1646,168130.2805366546
1647,159503.44141633247
1648,127449.50998933241
